,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
188,All_languages,tənəffüs,تنافس,tænæffys,tnaːfs,breathing,compete,8,2.4437632999999996,0.7532148957252502,0.5446888208389282,hard_negative
189,All_languages,ümmət,عِبَادَة,ymmæt,ʕِbَaːdَt,ummah,worship,8,2.3486828999999996,0.7864965200424194,0.6315756440162659,random
190,All_languages,əhl,أهل,æhl,aٔhl,folks,people,3,0.68036574,0.8485473394393921,0.648941695690155,hard_negative
191,All_languages,Sabit,ثابت,sɑbɪt,θaːbt,Stable,Proven,5,1.2263541999999998,0.8899425864219666,0.6023371815681458,synonym
192,All_languages,吖丁啶,Africa,atiŋtiŋ,ˈæfrɪkɑ,azetidine,Africa,6,2.9937797,0.438288539648056,0.6514876484870911,random
193,All_languages,普渡,morpholine,pʰutu,morpholine*,Purdue,morpholine,10,2.0410323,0.7787542939186096,0.6977061629295349,random
194,All_languages,安大略,Anselmo,antalye,ɑnˈsɛlmoʊ,Ontario,Anselmo,7,4.0703707,0.8411842584609985,0.6534980535507202,hard_negative
195,All_languages,柯卡布拉,corrigible,kʰet͡ɕʰiapula,ˈkɔrəʤəbəl,Cocabra,corrigible,10,5.4535919999999996,0.8023210167884827,0.6664896607398987,hard_negative
196,All_languages,諾貝爾,no biggie,nuopeiɻ̩,noʊ ˈbɪgi,Nobel,no biggie,9,2.5541142999999997,0.7912618517875671,0.4747094213962555,hard_negative
197,All_languages,佩斯,Baney,pʰeisi,ˈbeɪni,Pace,become,5,0.9329441999999999,0.5680233240127563,0.8137409687042236,hard_negative
198,All_languages,斯卡,thiazine,sit͡ɕʰia,thiazine*,Ska,thiazine,8,2.6650727,0.7062168717384338,0.5306771397590637,random
199,All_languages,三味治,number,sanweiʈ͡ʂɻ̩,ˈnəmbər,Osamu Mimi,number,6,2.3078258,0.42510169744491577,0.6764051914215088,random
200,All_languages,魯特琴,Sudanese,lutʰet͡ɕʰin,ˌsudəˈniz,lute,Sudanese,8,3.4636247000000004,0.6375285983085632,0.6436883211135864,hard_negative
201,All_languages,邁克爾,marker,maikʰeɻ̩,ˈmɑrkər,Michael,marker,6,2.632818,0.475678026676178,0.5474835038185121,random
202,All_languages,阿狄森,acetalise,etisen,acetalise*,Addison,acetalise,9,1.6216878000000001,0.8702040910720825,0.6064701676368713,hard_negative
203,All_languages,維多利亞,Digital Era,weituolija,ˈdɪʤɪtəl ˈɪrə,Victoria,Digital Age,11,3.699813,0.7021052241325378,0.6072742342948914,hard_negative
204,All_languages,恶毒的,Idleness,etuti,ˈaɪdəlnəs,poisonous,Idleness,8,2.2257736,0.8146381378173828,0.5328978300094604,synonym
205,All_languages,Menagerie,menacer,mənɑːɡəʀiːə,mənazəʀ,Menagerie,to menace,4,3.7183587999999994,0.824506938457489,0.6675058603286743,hard_negative
206,All_languages,Montage,montant,mɔntɑːɡə,mɔ̃tɑ̃,Montage,amount,3,2.3617852000000004,0.5420913696289062,0.7812532186508179,hard_negative
207,All_languages,Robe,housse,ʀoːbə,us,Robe,cover,4,0.5557479999999999,0.7484056353569031,0.6042019128799438,random
208,All_languages,Panne,panais,panə,panɛ,Breakdown,parsnip,4,0.311692,0.8683335185050964,0.6187945604324341,hard_negative
209,All_languages,Velo,Vallée,feːloː,vale,Velo,Vallée,4,1.0792758,0.8537030816078186,0.5648484230041504,hard_negative
210,All_languages,Kognak,conclave,kɔknɑːk,kɔ̃klav,Kognak,conclave,6,1.6658862,0.7288641929626465,0.5361779928207397,hard_negative
211,All_languages,konterkarieren,cardère à foulon,kɔntəʀkɑːʀiːʀən,kaʀdə̀ʀə a fulɔ̃,counteract,fuller's teasel,14,6.735341,0.8639233708381653,0.7011647224426271,hard_negative
212,All_languages,Flus,flouse,fluːs,fluz,Money,flouse,3,1.5943866000000002,0.8735184669494629,0.6846534013748169,hard_negative
213,All_languages,Palais,paillasse,pɑːlais,pelas,Palais,bench top,5,0.9944078000000002,0.7201639413833618,0.6693006753921509,hard_negative
214,All_languages,Kinematograph,dynamographe,kiːneːmɑːtɔkʀɑːf,dinamɔɡʀaf,Kinematograph,dynamographe,6,0.78199863,0.8502522110939026,0.7516499757766724,hard_negative
215,All_languages,Eau de Toilette,homosocialité,eːau deː toːiːlɛtə,ɔmɔzɔsjalite,Cologne,homosociality,13,4.234483200000001,0.8680460453033447,0.4937857389450073,hard_negative
216,All_languages,Nicolas,Nicolette,niːkoːlɑːs,nikɔlɛt,Nicolas,Nicolette,4,1.7330908,0.9181377291679382,0.7872350215911865,hard_negative
217,All_languages,konsterniert,connoter,kɔnstəʀnɪʀt,kɔnɔtəʀ,dismayed,connoter,8,1.7628968999999997,0.8471333384513855,0.6429927349090576,hard_negative
218,All_languages,Metier,médius,meːtiːɐ,medjy,metier,medium,5,0.7897181,0.819858193397522,0.6828790903091431,hard_negative
219,All_languages,Kombinieren,Combiner,kɔmbiːniːʀən,kɔ̃binəʀ,Combine,Combiner,4,0.2735504,0.9340249300003052,0.7456464171409607,synonym
220,All_languages,Degradieren,Déprimer,dɛkʀɑːdiːʀən,depʀiməʀ,Degrades,Depress,7,1.353128,0.8288732767105103,0.6384871006011963,synonym
221,All_languages,bandagieren,bagarrer,bandɑːɡiːʀən,baɡaʀʀəʀ,,fight,6,3.6621466000000003,0.8306001424789429,0.7190505862236023,hard_negative
222,All_languages,Charme,carme,xaʀmə,kaʀm,Charm,carme,2,0.8124677,0.8622173070907593,0.6994128823280334,hard_negative
223,All_languages,Notifikation,ratification,noːtiːfiːkɑːt͡siːoːn,ʀatifikasjɔ̃,Notification,ratification,3,2.460496,0.4886147081851959,0.6024686694145203,hard_negative
224,All_languages,Tour de Force,foudroyant,toːuːʀ deː fɔʀkə,fudʀwajɑ̃,Tower of Strength,lightning,10,2.2353115000000003,0.7930890917778015,0.7772287130355835,random
225,All_languages,Kollaborateur,colorature,kɔlɑːboːʀɑːtoːyːʀ,kɔlɔʀatyʀ,Collaborator,colorature,6,4.588181,0.6431040763854979,0.7430191636085509,hard_negative
226,All_languages,phänomenal,phænomene,fæːnoːmənɑːl,fænɔmən,phenomenal,phenomena,3,5.6975713,0.9115166664123536,0.7657662034034729,hard_negative
227,All_languages,Metier,Messire,meːtiːɐ,mɛsiʀ,metier,sir,4,2.0013266,0.9218593835830688,0.7437270879745483,hard_negative
228,All_languages,Adresse,alerte,atʀɛsə,alɛʀt,Address,alert,5,0.82848233,0.8270350694656372,0.5700474977493286,random
229,All_languages,creosote,Kriegsrat,ˈkriəˌsoʊt,kʀɪɡsʀɑːt,creosote,war council,6,0.9995415000000001,0.8307499885559082,0.7351155877113342,hard_negative
230,All_languages,Friable,Fragil,friable*,fʀɑːɡiːl,Friable,Fragile,4,1.6034764,0.9107761979103088,0.6689214706420898,synonym
231,All_languages,Grafe,Griff,greɪf,kʀɪf,Graph,Griff,2,1.1205755,0.8721882104873657,0.8270444273948669,hard_negative
232,All_languages,Huy,Heu,huy*,hoːyː,Huy,Heu,2,0.36901098,0.8326487541198729,0.631793200969696,hard_negative
233,All_languages,Herdt,Hertz,hərt,həʀt͡s,Herdt,Hertz,2,2.2730215,0.9088047742843628,0.8051872253417969,hard_negative
234,All_languages,Brem,Pfriem,brɛm,p͡fʀiːm,brake,Pfrie,3,2.6912917999999997,0.8993217349052429,0.7362858653068542,hard_negative
235,All_languages,Bank,Bunker,bæŋk,bʊŋkɐ,Bank,Bunker,3,1.7705741999999998,0.8161562085151672,0.7146305441856384,hard_negative
236,All_languages,Prader,Brodem,prader*,pʀoːdeːm,Prader,Brodem,3,0.54110813,0.8403440713882446,0.7476420998573303,hard_negative
237,All_languages,Schmaltz,Schmalz,ʃmɑlts,ʃmalt͡s,Schmaltz,lard,1,2.1764705,0.9697773456573486,0.8484871983528137,hard_negative
238,All_languages,Austerlitz,Außenluft,austerlitz*,ausənlʊft,Austerlitz,outside air,6,5.2814426,0.7385653853416443,0.7444775104522705,hard_negative
239,All_languages,Band,Bande,bænd,bandə,Band,Bandaged,1,-0.5963400999999999,0.8105158805847168,0.7291757464408875,hard_negative
240,All_languages,Boeckmann,Bouquet,ˈboʊkmən,boːʊkveːt,Boeckmann,Bouquet,7,3.1202965,0.8331885337829591,0.7397655248641968,hard_negative
241,All_languages,Timme,Timm,tɪm,tɪm,Hour,Timm,1,-0.1657011,0.9709557890892028,0.8516010642051697,hard_negative
242,All_languages,Glee,Glück,gli,klʏk,Glee,Luck,3,0.23926926,0.7046765685081482,0.6447203755378723,synonym
243,All_languages,faltboat,Salzberg,faltboat*,zalt͡sbəʀk,faltboat,Salzberg,5,1.0918397,0.7288775444030762,0.6547760367393494,random
244,All_languages,Olmütz,Illmitz,olmütz*,ɪlmiːt͡s,Olomouc,Illmitz,3,1.334376,0.7515804171562195,0.8055357933044434,hard_negative
245,All_languages,Salmen,Thälmann,sælˈmɛn,tæːlman,Salmen,Thaelmann,5,4.526311,0.8671025037765503,0.7937407493591309,hard_negative
246,All_languages,Reinwald,Reinheit,ˈraɪnˌwɔld,ʀainhait,Reinwald,purity,4,2.1376886,0.7967534065246582,0.8660813570022583,hard_negative
247,All_languages,Meagre,Mager,meagre*,mɑːɡɐ,Meagre,Thin,3,0.4148089,0.9213099479675292,0.8386736512184143,synonym
248,All_languages,Wicke,Fick,wɪk,fɪk,vetch,Got,2,0.43807763,0.8346970677375793,0.7087898850440979,hard_negative
249,All_languages,snit,knitz,snit*,kniːt͡s,cut,knitz,2,0.27380170000000004,0.8619818091392517,0.6551831364631653,hard_negative
250,All_languages,Kmetz,Kommerz,kəˈmɛts,kɔməʀt͡s,Kmetz,commercial,3,0.8279066999999999,0.8493099808692932,0.8011505603790283,hard_negative
251,All_languages,Bregenz,Bluthund,bregenz*,pluːtʊnt,Bregenz,bloodhound,6,0.85990477,0.7999781370162964,0.6749270558357239,hard_negative
252,All_languages,Ahlen,aalen,ˈɑlən,ɑːlən,awls,bask,2,1.6947843,0.8074455857276917,0.5686655640602112,hard_negative
253,All_languages,dasein,Latein,dasein*,lɑːtain,dasein,Latin,2,1.1722796,0.8121774792671204,0.6695500016212463,hard_negative
254,All_languages,Lehnen,Linnen,ˈlɛnən,lɪnən,Lean,Linen,2,-0.06585562,0.8123301267623901,0.7024903893470764,hard_negative
255,All_languages,Figge,Fick,fɪg,fɪk,Figs,Got,3,1.3855989,0.9399847984313964,0.7534885406494141,hard_negative
256,All_languages,Trautwein,Dreibein,ˈtraʊtˌwaɪn,tʀaibain,wedding wine,tripod,5,1.1067681,0.8334248661994934,0.7304913997650146,hard_negative
257,All_languages,Blumenfeld,Blumenbeet,ˈblumɪnfɛld,pluːmənbeːt,Blumenfeld,flower bed,3,0.6142367,0.6322335600852966,0.8274549841880798,hard_negative
258,All_languages,Elsa,Gelse,ˈɛlsə,ɡɛlsə,Elsa,come,3,1.512709,0.821106493473053,0.5933730602264404,hard_negative
259,All_languages,Meesdorf,Meson,meesdorf*,meːsoːn,Meesdorf,Meson,4,0.34618527,0.7983332872390747,0.7918569445610046,hard_negative
260,All_languages,Schmahl,Schmatz,ʃmɑl,ʃmɑːt͡s,Schmahl,Schmatz,2,0.5261401,0.9475327134132384,0.8107911944389343,hard_negative
261,All_languages,Goldschmidt,Waldschmidt,ˈgoʊldʃˌmɪt,vald͡ʒmɪt,Goldschmidt,Waldschmidt,2,2.2343056,0.9193322658538818,0.9096259474754332,hard_negative
262,All_languages,Anaheim,Arnheim,ˈænəˌhaɪm,aʀnhaim,Anaheim,Arnhem,2,2.2721741,0.6357440352439879,0.7977650761604309,hard_negative
263,All_languages,Proesel,Brodem,proesel*,pʀoːdeːm,Proesel,Brodem,4,5.5465617,0.8922133445739746,0.6668658852577211,hard_negative
264,All_languages,Steinbrenner,Springbrunnen,ˈstaɪnˌbrɛnər,ʃpʀɪŋpʀʊnən,Steinbrenner,fountain,5,1.5920944,0.6896343231201172,0.7974113225936891,hard_negative
265,All_languages,Abiturient,Abiturium,abiturient*,ɑːbiːtuːʀiːuːm,Abiturient,Abiturium,3,1.7782103999999999,0.9346032142639159,0.8342598080635071,hard_negative
266,All_languages,Blume,Bluhm,blum,pluːm,Blume,flowers,2,2.6641232999999995,0.7654399871826172,0.8022243976593018,hard_negative
267,All_languages,Eckenrode,Judenhaus,ˈɛkɪnˌroʊd,juːdənhaus,Eckenrode,Jew house,7,4.764638400000001,0.7254311442375183,0.7078025341033936,hard_negative
268,All_languages,Haufschild,Hauptseite,haufschild*,haʊptsaitə,house sign,main page,6,2.7898977000000005,0.8281239867210388,0.4238783121109009,hard_negative
269,All_languages,Drechsel,Tricksen,ˈdrɛksəl,tʀɪksən,woodturning,tricks,4,0.51630646,0.8306615352630615,0.7618324756622314,hard_negative
270,All_languages,purine,Turiner,purine*,tuːʀiːnɐ,purine,Turinese,2,3.914172,0.7582709789276123,0.7423874139785767,hard_negative
271,All_languages,Yantis,janz,ˈjæntɪs,jant͡s,Yantis,janz,4,3.153074,0.8372166156768799,0.6367276906967163,hard_negative
272,All_languages,Voelcker,Waalkes,voelcker*,valkeːs,felcker,Waalkes,5,0.38069543,0.8905035853385925,0.7521695494651794,hard_negative
273,All_languages,Lienhard,Lehnwort,ˈlinˌhɑrd,lɛnvɔʀt,Lienhard,loanword,5,1.5400074,0.6740714311599731,0.663259744644165,hard_negative
274,All_languages,Schlossberg,Schlosspark,ʃˈlɔsbərg,ʃlɔspaʀk,Castle Hill,castle park,3,3.5728190000000004,0.8167719841003418,0.8057003021240234,hard_negative
275,All_languages,Schrader,Helmer,ʃˈreɪdər,hɛlmɐ,Schrader,Helmer,6,0.9357405000000001,0.9167081713676452,0.6979173421859741,random
276,All_languages,Dittmann,Sitzmann,ˈdɪtmən,zɪt͡sman,Dittmann,seat man,2,2.1853877999999995,0.8180016875267029,0.6102021932601929,hard_negative
277,All_languages,nekton,necksen,ˈnɛktən,nɛksən,nekton,necksen,3,-0.06973544,0.9086912870407104,0.719758152961731,hard_negative
278,All_languages,Herren,hieran,ˈhɛrən,hiːʀɑːn,Herren,here,4,1.5854899,0.7077070474624634,0.6458593010902405,hard_negative
279,All_languages,phloem,Phlöem,phloem*,fløːeːm,phloem,Phlöem,2,1.8123363000000001,0.8926898837089539,0.8492414355278015,hard_negative
280,All_languages,scherenschnitte,Strahlungsquelle,scherenschnitte*,ʃtʀɑːlʊŋskvɛlə,silhouettes,radiation source,14,6.8831039999999994,0.9161904454231262,0.7365390658378601,hard_negative
281,All_languages,Necker,Neckar,ˈnɛkər,nɛkɑːʀ,Necker,Neckar,1,-1.0479594,0.6863910555839539,0.8972873687744141,hard_negative
282,All_languages,Asperger,Kaserne,asperger*,kɑːsəʀnə,Asperger,barracks,5,0.75115615,0.7762342691421509,0.6564642786979675,random
283,All_languages,pandeism,Pantheismus,pandeism*,pantaɪsmuːs,pandeism,Pantheismus,5,3.4567330000000003,0.9123154282569884,0.8186466693878174,hard_negative
284,All_languages,Buchmann,Putzmann,ˈbəkmən,pʊt͡sman,bookman,cleaning man,3,0.9755891999999999,0.9050792455673218,0.82953280210495,hard_negative
285,All_languages,Piltz,Pils,pɪlts,pɪls,Piltz,Pils,2,-0.47667068,0.8783180117607117,0.7840480804443359,hard_negative
286,All_languages,Porsche,Börse,ˈpɔrʃə,bœʀsə,Porsche,stock exchange,4,0.12784410000000002,0.8499010801315308,0.7364317774772644,hard_negative
287,All_languages,Meager,Mager,ˈmigər,mɑːɡɐ,Meager,Thin,1,1.1909303999999998,0.8850051760673523,0.8022619485855103,synonym
288,All_languages,Goeden,Jörger,ˈgoʊdən,jœʀɡɐ,A tree,Jörger,5,1.7504255000000002,0.7001990079879761,0.7099848985671997,random
289,All_languages,Hallig,heylig,hallig*,hailiːk,Hallig,helix,3,2.2502584,0.8380485773086548,0.6525881290435791,hard_negative
290,All_languages,Hornburg,Hornmoos,ˈhɔrnbərg,hɔʀnmoːs,Hornburg,Hornmoos,4,0.28207704,0.8822563290596008,0.7545590400695801,hard_negative
291,All_languages,desman,Sitzmann,ˈdɛzmən,zɪt͡sman,desman,seat man,5,1.4777896000000001,0.9056690335273744,0.7261017560958862,hard_negative
292,All_languages,Jucu,súgó,ʒuku,ʃuːɡoː,I play,help,4,0.3164909,0.8816612362861633,0.6340638995170593,hard_negative
293,All_languages,îngădui,engedély,ɨnɡədui,ɛnɡɛdeːj,indulge in,license,5,0.81768155,0.8211750984191895,0.5993737578392029,hard_negative
294,All_languages,Leț,léc,let͡s,leːt͡s,LET,léc,3,2.7522655,0.8077170252799988,0.6581254005432129,hard_negative
295,All_languages,Asău,áru,asəu,aːru,Asau,goods,3,0.29575902,0.9235257506370544,0.6221547722816467,hard_negative
296,All_languages,Visafolio,villámlik,visafolio,vilːaːmlik,Visafolio,lightning,6,1.0766048000000001,0.8907275795936584,0.7715033888816833,hard_negative
297,All_languages,șod,sőt,ʃod,ʃøːt,soda,in fact,3,0.5214179,0.8103548884391785,0.5554956197738647,hard_negative
298,All_languages,țânc,cseng,t͡sɨnk,t͡ʃɛnɡ,.nc,it rings,4,1.0556253,0.8974298238754272,0.6101436018943787,hard_negative
299,All_languages,Forău,forog,forəu,foroɡ,Forau,spins,3,0.55704355,0.892676055431366,0.4959797561168671,hard_negative
300,All_languages,Almășel,álmos,alməʃel,aːlmoʃ,Almăşel,sleepy,5,1.2108531,0.773797869682312,0.6087489724159241,hard_negative
301,All_languages,Sântimreu,Szentírás,sɨntimreu,sɛntiːraːʃ,Szentimre,Scripture,6,0.8899511999999998,0.8740856647491455,0.7035332322120667,hard_negative
302,All_languages,beseadă,petárda,beseadə,pɛtaːrdɒ,beseadă,petard,5,0.7280941999999999,0.8701847195625305,0.692396879196167,hard_negative
303,All_languages,Peștiș,pestis,peʃtiʃ,pɛʃtiʃ,Peştiş,pestis,3,2.6928892,0.7402053475379944,0.4518415331840515,hard_negative
304,All_languages,țânc,tank,t͡sɨnk,tɒnk,.nc,tank,3,3.707264,0.3953569531440735,0.5559672713279724,hard_negative
305,All_languages,Jebuc,Sebők,ʒebuk,ʃɛbøːk,Jebuc,Wounds,3,0.8706115,0.8427101373672485,0.4853986501693726,hard_negative
306,All_languages,Copos,kopasz,kopos,kopɒs,Cups,bald,3,1.9821011000000002,0.8729603290557861,0.691054105758667,hard_negative
307,All_languages,Medveș,nedves,medveʃ,nɛdvɛʃ,Medveș,wet,2,0.14129239999999998,0.801426351070404,0.5691531896591187,hard_negative
308,All_languages,Pintic,péntek,pintik,peːntɛk,Pintic,Friday,4,3.7027354,0.6080054044723511,0.5805836319923401,hard_negative
309,All_languages,Silagiu,Szilágyi,silad͡ʒiu,silaːɟi,Silagiu,Szilágyi,4,4.643952,0.8998787403106691,0.7796900868415833,hard_negative
310,All_languages,Măcicașu,mocskos,mət͡ʃikaʃu,mot͡ʃkoʃ,Măcicașu,dirty,7,2.9323618,0.5871188044548035,0.5935792326927185,hard_negative
311,All_languages,Moghioroș,magyaros,moɡioroʃ,mɒɟɒroʃ,Moghioroş,Hungarian,6,2.3031582999999998,0.753098726272583,0.5719051361083984,hard_negative
312,All_languages,boglar,bognár,boɡlar,boɡnaːr,gardens,bognár,2,0.052937585999999995,0.8017803430557251,0.7619043588638306,hard_negative
313,All_languages,Remeș,rémes,remeʃ,reːmɛʃ,Remes,terrible,3,2.2863998,0.7720413804054259,0.6630206704139711,hard_negative
314,All_languages,Ghemeș,gennyes,ɡemeʃ,ɡɛɲːɛʃ,Ghemes,pus,6,1.3219659,0.7892216444015503,0.6911868453025818,hard_negative
315,All_languages,Apața,apáca,apat͡sa,ɒpaːt͡sɒ,To stain,nun,3,4.113506,0.8749728202819824,0.6979981064796448,hard_negative
316,All_languages,Cheșereu,kesereg,keʃereu,kɛʃɛrɛɡ,Cheshereu,bitter,4,0.14007495,0.7555996179580688,0.7075951099395752,hard_negative
317,All_languages,taier,tenyér,taier,tɛɲeːr,taier,palm,4,1.2009237,0.8966802954673767,0.700722336769104,hard_negative
318,All_languages,cizmă,Kozma,t͡ʃizmə,kozmɒ,boot,Cosmos,3,0.5238447,0.8943435549736023,0.668425440788269,hard_negative
319,All_languages,Chiraleu,király,kiraleu,kiraːj,Chiraleu,King,5,0.9195126,0.7083175182342529,0.5574474930763245,hard_negative
320,All_languages,Șard,sarc,ʃard,ʃɒrt͡s,Șard,sarc,2,0.11792889,0.8417916893959045,0.7212759256362915,hard_negative
321,All_languages,Odvoș,orvos,odvoʃ,orvoʃ,Take away,doctor,3,2.0786816999999997,0.7920025587081909,0.5300870537757874,hard_negative
322,All_languages,Odvoș,olvas,odvoʃ,olvɒʃ,Take away,read,4,1.8954468999999998,0.7795746922492981,0.6398324370384216,hard_negative
323,All_languages,makrocefalia,macrocéphale,makrɔt͡sɛfalja,makʀɔzefal,macrocephaly,macrocéphale,6,3.6632695,0.9154911637306212,0.8111996650695801,hard_negative
324,All_languages,szyfr,chibre,ʂɨfr,ʃibʀ,cipher,penis,5,0.4853581,0.7148814201354979,0.7493327856063843,hard_negative
325,All_languages,drenaż,trainage,drɛnaʂ,tʀɛnaʒ,drainage,trainage,5,1.094949,0.5774421691894531,0.8156500458717346,hard_negative
326,All_languages,descendent,sesterpène,dɛst͡sɛndɛnt,sɛstɛʀpə̀n,descendent,sesterpene,6,1.7509738999999997,0.8599965572357178,0.6660118699073792,hard_negative
327,All_languages,werwa,vergé,vɛrva,vɛʀʒe,werwa,laid,3,1.2381036,0.8185260891914368,0.7073193788528442,hard_negative
328,All_languages,bemar,bombe,bɛmar,bɔ̃b,bemar,bomb,3,-0.0087661855,0.8139669895172119,0.7551475167274475,random
329,All_languages,imitacja,ondulation,imitat͡sja,ɔ̃dylasjɔ̃,imitation,ripple,9,4.233581,0.7372406721115112,0.6024672389030457,random
330,All_languages,ekspresjonizm,expressionniste,ɛksprɛsjɔɲizm,ɛkspʀɛsjɔnist,expressionism,expressionist,8,2.661263,0.8581734299659729,0.7838057875633241,hard_negative
331,All_languages,manifestant,manifesté,maɲifɛstant,manifɛste,protester,manifest,3,1.6291421999999998,0.9250591993331908,0.7689245939254761,hard_negative
332,All_languages,blef,bref,blɛf,bʀɛf,blef,brief,1,-0.35627028,0.8857337236404419,0.8093771934509277,hard_negative
333,All_languages,reżyser,réciter,rɛʐɨsɛr,ʀezitəʀ,director,recite,4,3.69909,0.4934727847576141,0.7485638856887817,hard_negative
334,All_languages,camembert,ciné-parc,t͡samɛmbɛrt,sine-paʀk,camembert,Cine Park,7,0.8635239,0.9014869332313538,0.7165356874465942,hard_negative
335,All_languages,azot,isoète,azɔt,izɔ̀t,azote,quillwort,4,1.9119643,0.8168205022811891,0.7033453583717346,hard_negative
336,All_languages,konsola,candela,kɔnsɔla,kɑ̃dəla,console,candela,4,0.51534426,0.8351031541824341,0.7574024200439453,hard_negative
337,All_languages,kolaż,codage,kɔlaʂ,kɔdaʒ,collage,coding,4,0.15358202,0.6370211839675903,0.7486894726753235,hard_negative
338,All_languages,terroryzm,perronisme,tɛrrɔrɨzm,pɛʀʀɔnism,terrorism,perronism,5,2.3859637000000005,0.9194082617759703,0.7755109667778015,hard_negative
339,All_languages,bard,barge,bart,baʀʒ,bard,barge,2,3.6506171000000003,0.9237468838691713,0.702389657497406,hard_negative
340,All_languages,talizman,salicine,talizman,salizin,talisman,salicine,5,0.8202438,0.7620394229888916,0.8332771062850952,hard_negative
341,All_languages,dietetyka,trachytique,djɛtɛtɨka,tʀaʃitik,dietetics,trachytique,10,3.103116,0.8227795362472534,0.7551754117012024,hard_negative
342,All_languages,deser,désert,dɛsɛr,dezɛʀ,dessert,desert,2,0.5468504,0.8454782962799072,0.6867765784263611,hard_negative
343,All_languages,antraks,anorak,antraks,anɔʀak,anthrax,anorak,2,-0.23575643,0.9329422116279602,0.7389196753501892,hard_negative
344,All_languages,kontekst,conteste,kɔntɛkst,kɔ̃tɛst,context,dispute,3,-0.035589058,0.8742659687995911,0.6960002779960632,hard_negative
345,All_languages,imitacja,invitation,imitat͡sja,ɛ̃vitasjɔ̃,imitation,invitation,6,4.244036,0.4740613400936127,0.6045107841491699,hard_negative
346,All_languages,idol,adèle,idɔl,adə̀l,idol,Adele,3,-0.037230868,0.8559388518333435,0.8080325722694397,hard_negative
347,All_languages,Cenzura,Censure,t͡sɛnzura,sɑ̃syʀ,Censorship,Censure,2,2.3489047999999997,0.8524566888809204,0.5907303094863892,synonym
348,All_languages,dermatologia,pharmacologie,dɛrmatɔlɔɡʲja,faʀmakɔlɔʒi,dermatology,pharmacology,5,1.9822206000000002,0.8829154968261719,0.8633704185485841,hard_negative
349,All_languages,mikrocefalia,macrocéphale,mikrɔt͡sɛfalja,makʀɔzefal,microcephaly,macrocéphale,7,3.0686397999999997,0.909727931022644,0.7045584321022034,hard_negative
350,All_languages,karmel,carpelle,karmɛl,kaʀpɛl,caramel,carpelle,4,0.70421445,0.8927848339080809,0.7914376854896545,hard_negative
351,All_languages,klimat,climax,klimat,klima,climate,climax,2,2.472669,0.8141933679580688,0.6547065377235413,hard_negative
352,All_languages,aplikacja,applicage,aplikat͡sja,aplikaʒ,app,applicage,5,0.8439633,0.8158517479896545,0.5993069410324097,hard_negative
353,All_languages,semiotyka,symbiotique,sɛmjɔtɨka,sɛ̃bjɔtik,semiotics,symbiotic,6,4.8669176,0.8683282136917114,0.7184062600135803,hard_negative
354,All_languages,Szopen,lopin,ʂɔpɛn,lɔpɛ̃,Soap,lopin,3,-0.22986847,0.9322115778923036,0.7037323117256165,hard_negative
355,All_languages,eskorta,escompte,ɛskɔrta,ɛskɔ̃pt,escort,discount,4,0.46275395,0.9127522110939026,0.7376143336296082,hard_negative
356,All_languages,limuzyna,limousin,limuzɨna,limuzɛ̃,limousine,limousin,4,5.4058127,0.820087730884552,0.6743999123573303,hard_negative
357,All_languages,pozer,peser,pɔzɛr,pəzəʀ,pozer,to weigh,2,1.6529038,0.8604934215545654,0.8219519257545471,hard_negative
358,All_languages,bordo,bordeau,bɔrdɔ,bɔʀdo,edge,burgundy,3,0.34083363,0.8380122780799866,0.6383482217788696,hard_negative
359,All_languages,bilion,bilieux,biljɔn,biljœ,billion,bilious,3,1.0912153999999998,0.9336917996406556,0.7339577078819275,hard_negative
360,All_languages,portier,Fortier,pɔrtjɛr,fɔʀsjəʀ,porter,Fortier,1,0.31335747,0.8258426189422607,0.7405239939689636,hard_negative
361,All_languages,waran,Varane,varan,vaʀan,waran,Early,2,0.24777502,0.8509134650230408,0.5942942500114441,hard_negative
362,All_languages,suflet,supplique,suflɛt,syplik,soul,petition,6,0.6794734,0.8230995535850525,0.7049256563186646,hard_negative
363,All_languages,resor,rincer,rɛsɔr,ʀɛ̃səʀ,travel,rinse,4,2.606934,0.7419555187225342,0.692470371723175,hard_negative
364,All_languages,koordinat,counteren,koordinat,cɑwnteːrɛn,coordinate,counter,8,1.8791165,0.8248733282089233,0.7323561906814575,hard_negative
365,All_languages,es,as,əs,ɑs,es,as,1,0.87652284,0.622951328754425,0.6651533246040344,hard_negative
366,All_languages,kios,kjoet,kios,kjuːt,stall,kjoet,3,1.1768982,0.9055931568145752,0.7046831250190735,hard_negative
367,All_languages,fisiologi,sociologie,fisioloɡi,soːsɪoːlɔɣiːeː,physiology,sociology,4,2.2848377,0.8921762108802795,0.881316065788269,hard_negative
368,All_languages,kring,groen,kriŋ,xruːn,around,green,4,3.0151699,0.7513359785079956,0.7475701570510864,hard_negative
369,All_languages,kampanye,kampanje,kampaɲə,kɑmpɑnjeː,campaign,campaigns,1,-0.26726827,0.9396010041236876,0.6632147431373596,hard_negative
370,All_languages,internuntius,interpunctie,intərnuntius,ɪntɛrpʏnctiːeː,messenger,punctuation,4,1.7546339,0.6948910355567932,0.7646982669830322,hard_negative
